,Age,Number of siblings,Gender,Left - right handed,Education,BMI,Clusters
674,18.0,1.0,male,right handed,college/bachelor degree,22.386314277122523,5
675,25.0,1.0,female,right handed,secondary school,27.548209366391188,0
676,20.0,2.0,female,right handed,college/bachelor degree,21.179406843378686,1
677,28.0,1.0,female,right handed,secondary school,28.628792385484836,5
678,23.0,1.0,female,right handed,college/bachelor degree,24.76756591982929,2
679,21.0,0.0,female,left handed,secondary school,20.45288531775018,2
680,25.0,1.0,female,right handed,college/bachelor degree,21.484374999999996,0
681,28.0,1.0,female,right handed,masters degree,21.604938271604937,4
682,19.0,4.0,male,right handed,secondary school,25.351541373715524,0
683,30.0,0.0,female,right handed,secondary school,24.968009737523797,4
684,28.0,1.0,female,right handed,secondary school,20.936639118457304,5
685,19.0,0.0,female,right handed,secondary school,19.94805976890361,5
686,21.0,0.0,male,right handed,college/bachelor degree,26.122448979591837,0
688,18.0,2.0,female,right handed,secondary school,17.63085399449036,5
689,18.0,1.0,male,right handed,secondary school,21.13885585942661,3
690,18.0,1.0,male,right handed,secondary school,19.01944209636517,4
691,17.0,0.0,female,right handed,college/bachelor degree,24.801587301587304,4
692,21.0,0.0,male,right handed,college/bachelor degree,21.9671201814059,4
693,18.0,0.0,female,right handed,secondary school,23.59700420642249,0
694,21.0,4.0,male,right handed,college/bachelor degree,20.875632703251448,4
695,23.0,0.0,female,right handed,college/bachelor degree,25.099501595611173,4
697,20.0,1.0,female,right handed,secondary school,26.92743764172336,5
698,19.0,0.0,female,right handed,secondary school,26.346494034400994,0
699,20.0,1.0,female,right handed,secondary school,17.301038062283737,5
700,26.0,3.0,female,right handed,college/bachelor degree,23.030045351473927,5
701,21.0,1.0,female,right handed,college/bachelor degree,22.857142857142858,4
702,19.0,2.0,male,right handed,secondary school,24.251278305332356,1
703,23.0,1.0,male,right handed,secondary school,21.179406843378686,0
704,21.0,2.0,female,right handed,secondary school,20.519134092541297,0
705,22.0,1.0,female,right handed,college/bachelor degree,20.281233098972418,4
706,18.0,0.0,male,right handed,secondary school,21.785875961973744,0
707,21.0,1.0,female,right handed,secondary school,19.43301326017375,1
708,23.0,1.0,male,right handed,secondary school,19.817677368212443,3
709,17.0,0.0,female,right handed,college/bachelor degree,25.099501595611173,4
710,20.0,1.0,female,right handed,secondary school,19.57168128269788,3
711,22.0,1.0,female,right handed,secondary school,19.031141868512112,0
712,20.0,1.0,female,right handed,secondary school,21.179406843378686,5
713,19.0,2.0,female,right handed,college/bachelor degree,21.258503401360546,4
714,25.0,0.0,female,right handed,masters degree,23.423557406305775,0
715,29.0,1.0,male,left handed,secondary school,33.14521186061094,0
716,29.0,2.0,male,right handed,secondary school,27.064051588760066,3
717,17.0,1.0,female,right handed,primary school,18.042701059173375,1
719,19.0,2.0,male,left handed,secondary school,21.913805697589478,3
720,18.0,2.0,female,right handed,secondary school,25.95155709342561,4
721,20.0,3.0,female,right handed,college/bachelor degree,19.817677368212443,2
722,21.0,0.0,female,right handed,college/bachelor degree,18.517804097064154,4
723,18.0,1.0,female,right handed,secondary school,18.93877551020408,0
724,19.0,1.0,female,right handed,primary school,21.604938271604937,0
725,19.0,0.0,male,right handed,secondary school,21.306818181818183,3
726,20.0,2.0,male,right handed,secondary school,21.224489795918366,3
727,19.0,0.0,male,left handed,secondary school,26.122448979591837,3
728,18.0,1.0,female,right handed,primary school,23.148148148148145,0
729,18.0,1.0,male,right handed,secondary school,24.4140625,4
730,16.0,1.0,female,right handed,primary school,19.140624999999996,3
731,18.0,1.0,female,right handed,college/bachelor degree,21.453573713726524,4
732,19.0,0.0,female,right handed,secondary school,21.79930795847751,0
733,24.0,2.0,female,right handed,college/bachelor degree,19.959355494266223,2
734,19.0,3.0,female,right handed,secondary school,19.841269841269845,1
735,20.43369890329013,1.0,female,right handed,masters degree,24.609733700642796,1
736,20.0,1.0,female,right handed,college/bachelor degree,21.773842357381334,4
737,21.0,0.0,female,right handed,college/bachelor degree,18.827160493827158,2
739,23.0,0.0,male,right handed,college/bachelor degree,22.03856749311295,0
740,17.0,1.0,male,right handed,secondary school,25.359256128486894,0
741,18.0,3.0,female,right handed,secondary school,21.71806608974573,2
742,26.0,5.0,male,right handed,masters degree,26.874496103198062,4
743,22.0,0.0,male,right handed,college/bachelor degree,18.78829922534397,4
747,18.0,2.0,female,right handed,secondary school,25.95155709342561,4
748,15.0,2.0,female,right handed,currently a primary school pupil,19.921874999999996,1
749,17.0,0.0,male,right handed,secondary school,20.897959183673468,1
750,22.0,6.0,female,left handed,college/bachelor degree,28.081632653061224,4
751,21.0,1.0,female,right handed,secondary school,17.361111111111114,2
752,21.0,3.0,female,right handed,college/bachelor degree,19.43301326017375,0
753,19.0,3.0,female,right handed,secondary school,16.75729284224206,2
754,26.0,0.0,male,right handed,college/bachelor degree,28.326974216672443,3
755,26.0,1.0,female,right handed,masters degree,27.041644131963228,0
757,19.0,3.0,female,right handed,college/bachelor degree,20.56880661366243,4
758,20.0,1.0,male,right handed,college/bachelor degree,25.76721894405937,3
759,18.0,0.0,male,right handed,secondary school,24.68532986111111,4
760,25.0,0.0,female,right handed,college/bachelor degree,17.569651116927822,0
761,23.0,1.0,male,right handed,secondary school,23.328993055555557,3
762,24.0,0.0,male,right handed,college/bachelor degree,23.26869806094183,3
763,20.0,3.0,male,left handed,college/bachelor degree,22.54595907041276,3
764,19.0,2.0,female,right handed,college/bachelor degree,16.901027582477017,5
765,18.0,1.0,male,right handed,secondary school,21.967857555786793,4
766,25.0,2.0,female,left handed,secondary school,21.513858510523864,4
767,22.0,2.0,male,left handed,masters degree,24.343809494085704,1
768,26.0,1.0,male,right handed,masters degree,26.880934989043094,3
769,19.0,0.0,female,right handed,secondary school,22.589551436050055,0
770,16.0,2.0,female,right handed,college/bachelor degree,18.68512110726644,1
771,18.0,0.0,male,right handed,secondary school,21.13885585942661,1
772,20.0,1.0,female,right handed,secondary school,18.339100346020764,0
773,17.0,0.0,female,right handed,college/bachelor degree,24.801587301587304,4
774,20.0,0.0,female,left handed,secondary school,21.20310522895934,0
775,19.0,3.0,female,right handed,college/bachelor degree,18.73278236914601,0
777,19.0,1.0,male,right handed,secondary school,18.991964937910883,3
778,18.0,0.0,female,right handed,secondary school,20.202020202020204,5
779,17.0,0.0,female,right handed,secondary school,17.21108680841909,4
780,18.0,1.0,male,right handed,secondary school,21.13885585942661,0
781,20.0,1.0,female,right handed,secondary school,21.545090797168363,0
782,17.0,3.0,female,right handed,secondary school,19.031141868512112,4
783,21.0,1.0,male,right handed,secondary school,21.132713440405748,2
784,19.0,1.0,male,left handed,secondary school,22.1606648199446,0
785,19.0,0.0,male,left handed,college/bachelor degree,22.877405702193368,0
786,19.0,0.0,male,right handed,secondary school,22.28247738194314,4
787,16.0,1.0,male,right handed,primary school,22.34351559258195,0
788,18.0,2.0,female,left handed,primary school,20.028841531805796,0
789,19.0,3.0,male,right handed,college/bachelor degree,25.24933720489837,0
790,20.0,0.0,female,right handed,secondary school,21.179406843378686,3
791,19.0,1.0,female,right handed,secondary school,19.81405273586343,3
792,21.0,1.0,male,right handed,masters degree,25.227864583333336,3
793,24.0,2.0,male,right handed,doctorate degree,35.06208911614317,0
794,23.0,1.0,male,right handed,secondary school,26.315789473684212,5
795,30.0,0.0,female,right handed,secondary school,23.054562464499313,0
796,27.0,3.0,male,left handed,doctorate degree,31.634052798073963,0
797,19.0,1.0,male,right handed,secondary school,18.991964937910883,3
798,18.0,2.0,female,right handed,secondary school,21.484374999999996,0
799,18.0,0.0,male,right handed,secondary school,21.597223907398874,2
800,17.0,2.0,male,right handed,secondary school,20.45288531775018,5
801,30.0,1.0,female,right handed,secondary school,24.0569347455645,3
802,19.0,0.0,female,right handed,secondary school,20.281233098972418,3
803,27.0,5.0,female,right handed,secondary school,26.395803401383272,1
804,21.0,1.0,female,right handed,secondary school,20.715693808680545,0
805,17.0,3.0,female,left handed,primary school,19.467401285583104,4
806,20.0,1.0,male,right handed,secondary school,23.334120982986768,1
807,20.0,0.0,male,right handed,secondary school,27.166919271354622,1
808,20.0,1.0,male,right handed,college/bachelor degree,22.282592106468055,3
809,18.0,0.0,male,right handed,secondary school,24.535123966942148,3
810,20.0,1.0,male,right handed,college/bachelor degree,27.777777777777775,2
811,20.0,1.0,male,right handed,secondary school,20.830703194041156,2
812,17.0,1.0,female,right handed,secondary school,19.591836734693878,1
813,19.0,1.0,male,right handed,secondary school,23.808797045267237,1
815,20.0,1.0,male,right handed,secondary school,24.48565200513601,4
816,21.0,0.0,male,right handed,secondary school,19.444444444444443,4
817,23.0,0.0,male,right handed,primary school,24.221453287197235,0
818,24.0,2.0,male,right handed,secondary school,25.24933720489837,1
819,17.0,0.0,female,right handed,secondary school,18.749999999999996,5
820,18.0,1.0,female,right handed,secondary school,20.957171162932475,4
821,17.0,1.0,male,right handed,secondary school,28.926223520818112,2
822,19.0,1.0,female,right handed,secondary school,19.591836734693878,0
823,21.0,0.0,male,right handed,secondary school,22.917609778180175,3
824,29.0,1.0,female,right handed,college/bachelor degree,20.06920415224914,2
825,21.0,1.0,female,right handed,college/bachelor degree,19.031141868512112,2
826,20.0,1.0,female,right handed,secondary school,22.031725684986377,0
827,20.0,1.0,female,right handed,secondary school,19.48696145124717,2
828,19.0,1.0,male,right handed,college/bachelor degree,23.629489603024574,3
829,20.0,0.0,female,right handed,college/bachelor degree,19.05197378448407,2
830,21.0,1.0,female,right handed,secondary school,24.801587301587304,0
831,17.0,2.0,female,right handed,secondary school,17.301038062283737,4
832,20.0,0.0,female,right handed,secondary school,20.936639118457304,2
833,19.0,0.0,male,right handed,secondary school,20.671695884453275,2
834,21.0,1.0,male,right handed,secondary school,23.719609250647608,1
835,19.0,0.0,male,right handed,secondary school,21.05263157894737,0
836,19.0,0.0,male,right handed,secondary school,25.165146272412706,0
837,20.0,3.0,male,right handed,secondary school,19.409358296754156,4
838,21.0,0.0,female,right handed,college/bachelor degree,20.06920415224914,0
839,23.0,1.0,female,right handed,masters degree,25.59373706198954,0
840,24.0,1.0,female,right handed,college/bachelor degree,18.556773222226116,0
841,19.0,3.0,male,left handed,secondary school,18.991964937910883,3
842,24.0,0.0,female,right handed,college/bachelor degree,21.179406843378686,0
843,20.0,1.0,female,right handed,secondary school,22.34351559258195,0
844,30.0,2.0,male,right handed,masters degree,23.03875236294896,4
845,20.0,0.0,female,right handed,secondary school,20.569329660238754,5
846,23.0,4.0,female,right handed,secondary school,18.467220683287167,3
847,19.0,1.0,female,left handed,secondary school,17.647058823529413,2
848,19.0,4.0,male,right handed,college/bachelor degree,17.72211720226843,2
849,22.0,2.0,female,left handed,college/bachelor degree,20.147971991015986,1
850,17.0,0.0,female,right handed,secondary school,22.20408163265306,5
851,20.0,2.0,male,right handed,college/bachelor degree,20.00656932126967,3
852,19.0,2.0,male,right handed,secondary school,24.489795918367346,3
853,30.0,4.0,female,right handed,masters degree,22.20408163265306,5
854,27.0,0.0,male,left handed,college/bachelor degree,23.148148148148145,3
855,19.0,1.0,male,right handed,college/bachelor degree,27.777777777777775,0
856,17.0,1.0,female,right handed,secondary school,20.956607495069033,0
857,20.0,1.0,male,right handed,secondary school,21.70138888888889,1
859,20.0,1.0,male,right handed,secondary school,34.62603878116344,0
860,20.0,2.0,male,right handed,secondary school,26.56683975365294,0
861,18.0,1.0,female,right handed,secondary school,18.591130340724717,2
862,21.0,2.0,male,right handed,college/bachelor degree,22.877405702193368,0
863,21.0,1.0,male,right handed,secondary school,21.56476002629849,1
864,20.0,1.0,male,right handed,secondary school,24.835646457268076,4
865,17.0,2.0,female,right handed,secondary school,23.849776597029344,1
866,23.0,1.0,male,right handed,college/bachelor degree,26.296566837107374,2
867,25.0,1.0,female,right handed,masters degree,18.92915089237426,0
869,18.0,1.0,female,right handed,secondary school,18.68512110726644,2
870,25.0,1.0,female,right handed,masters degree,22.321428571428577,3
871,21.0,1.0,male,right handed,college/bachelor degree,22.530864197530864,4
872,20.0,1.0,male,right handed,secondary school,22.03840115928028,3
873,21.0,0.0,male,right handed,secondary school,23.095409007209515,0
874,18.0,1.0,female,right handed,secondary school,20.576131687242793,0
876,19.0,0.0,male,right handed,secondary school,21.736505252988767,3
877,22.0,2.0,male,right handed,secondary school,24.915315920606925,2
878,26.0,0.0,male,left handed,secondary school,22.944088878154812,4
879,23.0,0.0,male,right handed,secondary school,25.420014609203797,3
880,18.0,1.0,female,right handed,secondary school,20.576131687242793,0
881,18.0,1.0,female,right handed,secondary school,18.68512110726644,2
882,16.0,1.0,female,right handed,primary school,19.13265306122449,3
883,19.0,2.0,female,right handed,secondary school,20.19557823129252,0
884,19.0,1.0,female,right handed,college/bachelor degree,18.93877551020408,4
885,23.0,0.0,female,right handed,secondary school,21.179406843378686,3
886,21.0,1.0,male,right handed,secondary school,24.307243558580453,1
888,20.0,1.0,female,right handed,college/bachelor degree,18.93877551020408,0
889,22.0,1.0,female,right handed,college/bachelor degree,21.179406843378686,2
890,20.0,1.0,male,right handed,secondary school,17.59259259259259,3
891,21.0,2.0,male,right handed,secondary school,23.671253629592222,3
892,19.0,0.0,male,right handed,secondary school,21.36686914318855,0
893,17.0,0.0,female,right handed,primary school,21.30394857667585,3
894,19.0,2.0,female,right handed,secondary school,18.02595737862522,2
896,22.0,1.0,male,right handed,college/bachelor degree,27.414453692693883,2
897,23.0,2.0,male,left handed,college/bachelor degree,25.381468541909282,3
898,28.0,2.0,female,right handed,masters degree,18.25310978907518,2
900,21.0,1.0,male,right handed,secondary school,25.826446280991735,0
901,22.0,1.0,female,right handed,secondary school,16.70620468441979,1
902,20.43369890329013,1.0,male,right handed,masters degree,21.179406843378686,3
903,19.0,1.0,male,right handed,college/bachelor degree,21.22000905387053,4
904,24.0,1.0,female,right handed,college/bachelor degree,21.484374999999996,5
905,23.0,1.0,male,right handed,college/bachelor degree,21.79930795847751,3
906,21.0,2.0,female,right handed,secondary school,19.333729922665082,4
907,22.0,1.0,female,right handed,secondary school,17.92821542543655,5
908,18.0,1.0,male,right handed,secondary school,23.92485822306238,3
909,28.0,2.0,female,left handed,masters degree,21.04804761213529,4
910,18.0,0.0,female,right handed,secondary school,17.63085399449036,4
911,23.0,1.0,female,right handed,college/bachelor degree,22.79032897344431,2
912,22.0,0.0,female,right handed,secondary school,20.957171162932475,3
913,21.0,0.0,female,right handed,secondary school,19.333729922665082,4
914,20.0,1.0,female,right handed,secondary school,19.493177387914233,4
915,18.0,1.0,female,right handed,primary school,22.49134948096886,0
916,21.0,1.0,male,right handed,secondary school,17.959183673469386,2
917,20.0,1.0,male,right handed,college/bachelor degree,23.37472607742878,2
919,21.0,1.0,female,left handed,secondary school,18.36547291092746,4
920,20.0,2.0,female,right handed,secondary school,19.834710743801654,0
921,17.0,0.0,male,right handed,primary school,24.543462381300216,3
922,20.0,1.0,female,right handed,secondary school,21.877551020408163,3
923,23.0,3.0,female,right handed,college/bachelor degree,22.20633068613798,4
924,19.0,0.0,female,right handed,secondary school,20.811654526534856,1
926,22.0,1.0,male,right handed,secondary school,20.902385858042937,1
927,19.0,1.0,female,right handed,secondary school,21.077195227520797,3
928,19.0,0.0,female,right handed,secondary school,18.79618949976505,0
929,27.0,0.0,female,right handed,college/bachelor degree,19.37919743392696,4
930,18.0,5.0,female,left handed,primary school,16.528925619834713,5
931,18.0,2.0,male,right handed,secondary school,25.24933720489837,3
932,20.0,1.0,female,right handed,secondary school,18.730489073881373,3
933,17.0,3.0,female,right handed,secondary school,17.301038062283737,2
934,19.0,0.0,female,right handed,primary school,20.32443825510934,3
935,16.0,1.0,female,right handed,secondary school,22.308149910767405,5
936,21.0,0.0,female,right handed,secondary school,22.571047501795427,3
937,18.0,0.0,female,right handed,primary school,22.230987127541326,4
938,19.0,0.0,female,right handed,secondary school,22.8625344752504,4
939,20.0,0.0,female,right handed,secondary school,21.179406843378686,0
941,18.0,3.0,female,right handed,primary school,18.591130340724717,0
942,24.0,0.0,male,right handed,college/bachelor degree,23.183673469387756,4
944,19.0,1.0,female,right handed,secondary school,17.908855357415025,0
945,22.0,1.0,male,right handed,secondary school,21.604938271604937,0
946,22.0,0.0,male,right handed,secondary school,26.846358291497758,4
947,16.0,0.0,female,right handed,secondary school,16.975308641975307,5
948,18.0,1.0,female,right handed,secondary school,25.95155709342561,0
949,18.0,3.0,female,right handed,secondary school,20.820939916716245,0
951,26.0,3.0,male,right handed,masters degree,21.967857555786793,3
952,19.0,0.0,male,right handed,secondary school,18.726007303142847,0
953,20.0,1.0,female,right handed,secondary school,20.936639118457304,0
954,20.0,0.0,female,right handed,secondary school,20.244897959183675,0
955,19.0,1.0,female,right handed,secondary school,18.507766003774133,1
956,20.0,0.0,male,right handed,secondary school,26.19618735008206,4
957,20.0,5.0,male,right handed,secondary school,21.224489795918366,3
958,22.0,2.0,female,right handed,college/bachelor degree,20.65754000210077,3
959,24.0,1.0,female,left handed,masters degree,15.495867768595042,2
960,20.43369890329013,1.0,female,right handed,masters degree,21.179406843378686,2
961,20.0,3.0,male,left handed,secondary school,25.351541373715524,0
962,21.0,1.0,female,right handed,secondary school,20.07960127648894,1
963,23.0,0.0,male,left handed,secondary school,26.880934989043094,0
964,21.0,0.0,male,right handed,college/bachelor degree,21.179406843378686,2
965,17.0,2.0,female,right handed,primary school,22.49134948096886,0
966,19.0,1.0,female,left handed,college/bachelor degree,19.031141868512112,4
967,18.0,1.0,male,right handed,primary school,20.303697560696612,0
968,19.0,2.0,male,left handed,secondary school,22.152646502835537,3
969,19.0,2.0,male,right handed,college/bachelor degree,21.604938271604937,1
970,22.0,1.0,male,right handed,masters degree,23.449340844748203,4
971,18.0,1.0,male,right handed,secondary school,19.15158479364167,4
972,19.0,0.0,female,right handed,secondary school,27.77427092538821,2
973,20.0,2.0,female,right handed,secondary school,39.183673469387756,1
974,21.0,0.0,female,right handed,secondary school,21.798202394816204,2
975,23.0,0.0,female,right handed,secondary school,27.755102040816325,4
976,19.0,0.0,female,right handed,secondary school,20.9572742022715,0
977,19.0,1.0,male,right handed,secondary school,24.78425751739377,3
978,21.0,2.0,female,right handed,college/bachelor degree,22.03856749311295,0
979,19.0,0.0,male,left handed,secondary school,23.91327452439154,0
980,18.0,2.0,female,right handed,secondary school,19.233560749020178,0
981,19.0,1.0,female,left handed,secondary school,20.19557823129252,2
982,18.0,2.0,male,right handed,secondary school,22.093170054286073,2
983,22.0,2.0,female,right handed,secondary school,20.281233098972418,0
984,21.0,0.0,female,right handed,secondary school,20.202020202020204,1
985,20.0,1.0,female,right handed,secondary school,19.003908350962746,2
986,19.0,3.0,female,right handed,secondary school,23.147255121330193,4
989,30.0,2.0,female,right handed,masters degree,19.13265306122449,0
990,29.0,1.0,male,right handed,secondary school,28.703703703703702,1
991,21.0,0.0,male,right handed,secondary school,27.041644131963228,5
992,30.0,1.0,male,right handed,masters degree,37.5,0
993,21.0,0.0,female,right handed,secondary school,18.376825152861773,5
994,20.0,0.0,female,right handed,secondary school,25.180785123966942,2
995,18.0,0.0,female,right handed,secondary school,19.94805976890361,3
996,20.0,0.0,male,right handed,secondary school,20.498614958448755,3
997,19.0,1.0,female,right handed,secondary school,19.003908350962746,0
998,28.0,1.0,male,right handed,masters degree,28.483072916666668,3
1000,16.0,1.0,female,right handed,primary school,26.48553974966893,0
1001,18.0,2.0,female,right handed,primary school,24.609374999999996,5
1002,22.0,1.0,male,right handed,secondary school,21.97735111870822,3
1003,20.0,1.0,female,right handed,secondary school,21.29529475392104,0
1004,22.0,1.0,male,right handed,secondary school,19.591836734693878,3
1005,20.0,1.0,female,right handed,secondary school,21.192742415229034,4
1006,27.0,5.0,male,left handed,masters degree,23.888440980620498,0
1007,18.0,0.0,female,right handed,secondary school,25.05930702662969,3
1008,25.0,1.0,female,right handed,college/bachelor degree,19.37919743392696,2
1009,21.0,1.0,male,right handed,secondary school,21.0372534696859,3
